Week,county,weighted_avg
2024-01-02,Benton County,1.00000001
2024-01-02,Chelan County,1.0000000158005007
2024-01-02,Franklin County,1.006495238851812
2024-01-02,Island County,1.000000001903063
2024-01-02,Jefferson County,0.9999999899999998
2024-01-02,King County,1.0
2024-01-02,Kittitas County,1.00000001
2024-01-02,Okanogan County,1.00000001
2024-01-02,Pierce County,1.0000000093165125
2024-01-02,Spokane County,0.99999999
2024-01-02,Thurston County,1.0000000035984227
2024-01-02,Walla Walla County,0.9999999899999997
2024-01-02,Whitman County,1.0000000199999999
2024-01-02,Yakima County,1.0000000031299496
2024-01-09,Island County,1.00000001
2024-01-09,King County,1.00277572
2024-01-16,Island County,1.00000001
2024-01-16,King County,1.0776511599999998
2024-01-23,Island County,1.0
2024-01-23,King County,1.12976707
2024-01-30,Benton County,0.9999999899999998
2024-01-30,Chelan County,0.9999999999999997
2024-01-30,Franklin County,0.9999999978653202
2024-01-30,Island County,1.0000000053917104
2024-01-30,Jefferson County,1.0
2024-01-30,King County,1.00000001
2024-01-30,Pierce County,0.9999999913669736
2024-01-30,Spokane County,0.99999999
2024-01-30,Thurston County,0.9999999999999996
2024-01-30,Walla Walla County,0.9999999900000001
2024-01-30,Whitman County,0.9999999900000001
2024-01-30,Yakima County,0.9999999931299504
2024-02-06,Benton County,0.9999999999999999
2024-02-06,Chelan County,0.9999999999999996
2024-02-06,Franklin County,1.00000000393266
2024-02-06,Island County,1.0000000065300911
2024-02-06,Jefferson County,1.0
2024-02-06,King County,1.0
2024-02-06,Kittitas County,1.00000001
2024-02-06,Okanogan County,1.0000000002534821
2024-02-06,Pierce County,0.9999999993165127
2024-02-06,Spokane County,1.0
2024-02-06,Thurston County,0.9999999947490138
2024-02-06,Whitman County,0.9999999999999999
2024-02-06,Yakima County,0.9999999986798142
2024-02-13,Benton County,1.00000002
2024-02-13,Chelan County,1.0000000032020049
2024-02-13,Franklin County,1.000000012134679
2024-02-13,Island County,0.9999999953917109
2024-02-13,Jefferson County,1.0
2024-02-13,King County,1.00000001
2024-02-13,Kittitas County,0.9999999900000001
2024-02-13,Okanogan County,1.00000001
2024-02-13,Pierce County,1.000000008633026
2024-02-13,Thurston County,0.9999999999999997
2024-02-13,Walla Walla County,1.00000001
2024-02-13,Whitman County,0.99999998
2024-02-13,Yakima County,0.9999999982543264
2024-02-20,Benton County,1.00000001
2024-02-20,Chelan County,1.0000000067979942
2024-02-20,Franklin County,0.9999999939326599
2024-02-20,Island County,1.0000000046082886
2024-02-20,Jefferson County,1.00000001
2024-02-20,King County,1.0
2024-02-20,Kittitas County,1.00000001
2024-02-20,Okanogan County,1.00000001
2024-02-20,Pierce County,1.0000000006834868
2024-02-20,Spokane County,0.9999999999999999
2024-02-20,Thurston County,1.0000000058996052
2024-02-20,Walla Walla County,1.00000001
2024-02-20,Whitman County,1.0
2024-02-20,Yakima County,1.0000000038316443
2024-02-27,Benton County,0.9999999900000001
2024-02-27,Chelan County,1.0
2024-02-27,Franklin County,1.0
2024-02-27,Island County,0.9999999982650454
2024-02-27,King County,0.99999999
2024-02-27,Kittitas County,1.00000001
2024-02-27,Okanogan County,0.9999999999999999
2024-02-27,Pierce County,1.0
2024-02-27,Spokane County,1.00000001
2024-02-27,Thurston County,0.99999999
2024-02-27,Whitman County,1.0000000199999999
2024-02-27,Yakima County,0.9999999923367101
2024-03-05,Benton County,1.00000001
2024-03-05,Chelan County,1.0000000067979942
2024-03-05,Franklin County,0.9999999960673397
2024-03-05,Island County,1.0000000082650455
2024-03-05,Jefferson County,0.9999999999999999
2024-03-05,King County,1.0
2024-03-05,Kittitas County,1.0
2024-03-05,Okanogan County,1.0
2024-03-05,Pierce County,0.9999999999999999
2024-03-05,Spokane County,1.00000001
2024-03-05,Thurston County,0.9999999982007883
2024-03-05,Whitman County,1.0
2024-03-05,Yakima County,0.9999999971699532
2024-03-12,Benton County,0.9999999900000001
2024-03-12,Chelan County,0.9999999816010025
2024-03-12,Franklin County,0.9999999999999999
2024-03-12,Island County,1.0000000109515317
2024-03-12,Jefferson County,0.99999999
2024-03-12,Kittitas County,1.0
2024-03-12,Pierce County,0.9999999999999998
2024-03-12,Spokane County,0.9999999899999998
2024-03-12,Thurston County,1.0000000041003942
2024-03-12,Whitman County,1.00000001
2024-03-12,Yakima County,0.9999999965086536
2024-03-19,Benton County,0.9999999900000001
2024-03-19,Chelan County,0.9999999999999996
2024-03-19,Franklin County,1.0
2024-03-19,Island County,0.9999999973135134
2024-03-19,Jefferson County,1.00000001
2024-03-19,Kittitas County,1.0
2024-03-19,Okanogan County,1.0
2024-03-19,Pierce County,1.0
2024-03-19,Spokane County,1.00000001
2024-03-19,Thurston County,0.9999999976988166
2024-03-19,Walla Walla County,1.00000001
2024-03-19,Whitman County,1.0
2024-03-19,Yakima County,0.9999999961683546
2024-03-26,Benton County,0.9999999900000001
2024-03-26,Chelan County,1.0
2024-03-26,Franklin County,1.00000001
2024-03-26,Island County,1.0000000036567567
2024-03-26,Jefferson County,1.00000001
2024-03-26,King County,1.0
2024-03-26,Kittitas County,0.99999999
2024-03-26,Okanogan County,1.0000000199999999
2024-03-26,Spokane County,1.00000001
2024-03-26,Thurston County,0.9999999982007882
2024-03-26,Walla Walla County,0.99999999
2024-03-26,Whitman County,1.0
2024-03-26,Yakima County,1.000000001620303
2024-04-02,Benton County,1.0
2024-04-02,Franklin County,0.99999999
2024-04-02,Island County,0.9999999849999999
2024-04-02,King County,1.00000002
2024-04-02,Spokane County,0.9999999900000001
2024-04-02,Yakima County,0.9999999935849764
2024-04-09,Benton County,1.0000000199999999
2024-04-09,Chelan County,1.0
2024-04-09,Franklin County,1.0
2024-04-09,Island County,0.9999999976958551
2024-04-09,King County,1.00000001
2024-04-09,Kittitas County,1.0
2024-04-09,Spokane County,1.0
2024-04-09,Thurston County,1.00000001
2024-04-09,Walla Walla County,0.9999999900000001
2024-04-09,Yakima County,0.9999999928300459
2024-04-16,Chelan County,1.0
2024-04-23,Benton County,1.0000000041527437
2024-04-23,Franklin County,0.9999999899999997
2024-04-23,Island County,1.000000009039098
2024-04-23,Jefferson County,1.00000001
2024-04-23,Kittitas County,1.0000000066730874
2024-04-23,Okanogan County,1.0000000049999997
2024-04-23,Spokane County,0.99999999
2024-04-23,Thurston County,0.9999999958996054
2024-04-23,Walla Walla County,1.0
2024-04-23,Whitman County,1.0
2024-04-23,Yakima County,1.0000000082543263
2024-04-30,Benton County,1.00000001
2024-04-30,Island County,1.0000000014092008
2024-04-30,Jefferson County,0.99999999
2024-04-30,Kittitas County,1.0000000199999999
2024-04-30,Thurston County,0.9999999999999997
2024-04-30,Walla Walla County,1.0
2024-04-30,Whitman County,0.99999999
2024-04-30,Yakima County,0.9999999999999999
2024-05-07,Benton County,0.9999999941527435
2024-05-07,Chelan County,0.9999999899999997
2024-05-07,Island County,1.0000000080781966
2024-05-07,Jefferson County,1.00000002
2024-05-07,King County,0.99999999
2024-05-07,Kittitas County,1.0000000166730871
2024-05-07,Okanogan County,0.9999999902534817
2024-05-07,Pierce County,1.0
2024-05-07,Spokane County,1.0
2024-05-07,Thurston County,0.9999999999999998
2024-05-07,Whitman County,0.99999998
2024-05-07,Yakima County,0.9999999999999996
2024-05-14,Benton County,1.000000007541769
2024-05-14,Franklin County,1.0000000039326598
2024-05-14,Island County,0.9999999990390979
2024-05-14,Jefferson County,1.0000000099999997
2024-05-14,King County,1.0
2024-05-14,Kittitas County,1.0000000083365435
2024-05-14,Okanogan County,1.0
2024-05-14,Pierce County,1.0
2024-05-14,Spokane County,1.000000005
2024-05-14,Thurston County,0.99999999
2024-05-14,Walla Walla County,1.000000003974064
2024-05-14,Whitman County,1.0
2024-05-14,Yakima County,0.999999992900308
2024-05-21,Benton County,0.99999998
2024-05-21,Chelan County,0.9999999983989971
2024-05-21,Franklin County,0.9999999799999999
2024-05-21,Island County,1.0000000057046003
2024-05-21,Jefferson County,1.0000000100000002
2024-05-21,Kittitas County,0.9999999966730873
