Week,variant,weighted_avg,total_population,hex_code
2024-01-02,BA.2,0.00047835046237071436,10395879,#9CCD67
2024-01-02,BA.2.12.1,4.6913015436212756e-05,10395879,#7CB342
2024-01-02,BA.2.86,0.01650935026002515,10395879,#D770EE
2024-01-02,EG.5,0.02916070815270551,10395879,#FFBE7D
2024-01-02,EG.5.1.8,0.03764252307731939,10395879,#E14D6F
2024-01-02,EG.6.1,6.443982169473115e-05,10395879,#B9ABA8
2024-01-02,FE.1.1,0.0001985638475726776,10395879,#499894
2024-01-02,FL.1.5.1,0.0031812958228467263,10395879,#8CD17D
2024-01-02,GE.1,0.0,10395879,#FABFD2
2024-01-02,GK.1.1,0.00041110284734941605,10395879,#90FAE5
2024-01-02,HF.1,0.00029322350158173254,10395879,#D399AD
2024-01-02,HK.3,0.0008341906880601439,10395879,#859DBC
2024-01-02,HV.1,0.13134289726057216,10395879,#797765
2024-01-02,JD.1.1,0.007562447146361072,10395879,#80F192
2024-01-02,JF.1,0.0022656752822190407,10395879,#FFF1A9
2024-01-02,JG.3,0.012882042584617424,10395879,#66A172
2024-01-02,JN.1,0.6295697371441072,10395879,#61018F
2024-01-02,JN.1.11.1,0.0,10395879,#5C9CF1
2024-01-02,JN.1.13,0.0,10395879,#E83C78
2024-01-02,JN.1.13.1,0.0,10395879,#F2591C
2024-01-02,JN.1.16,0.004390120946788627,10395879,#BC3A88
2024-01-02,JN.1.16.1,0.0,10395879,#366298
2024-01-02,JN.1.18,0.0,10395879,#4AF32F
2024-01-02,JN.1.32,0.0,10395879,#2E7919
2024-01-02,JN.1.4.3,0.0,10395879,#9D1010
2024-01-02,JN.1.7,0.0,10395879,#CF15E8
2024-01-02,JN.1.8.1,0.0,10395879,#FFB027
2024-01-02,KP.1.1,0.0,10395879,#CBFF86
2024-01-02,KP.1.1.3,0.0,10395879,#1EB3B6
2024-01-02,KP.1.2,0.0,10395879,#D7B5A6
2024-01-02,KP.2,0.0,10395879,#5875A1
2024-01-02,KP.2.15,0.0,10395879,#175DFF
2024-01-02,KP.2.3,0.0,10395879,#628DE8
2024-01-02,KP.3,0.0,10395879,#B06589
2024-01-02,KP.3.1.1,0.0,10395879,#2F92A1
2024-01-02,KP.4.1,0.0,10395879,#FF473A
2024-01-02,KQ.1,0.0,10395879,#E86CDE
2024-01-02,KV.2,0.0,10395879,#E14365
2024-01-02,KW.1.1,0.0,10395879,#34A0FF
2024-01-02,LB.1,0.0,10395879,#795653
2024-01-02,Recombinant,0.04275607263044424,10395879,#FF0000
2024-01-02,XBB,0.00760494551556535,10395879,#9FA8DA
2024-01-02,XBB.1.16,0.0037934136335205514,10395879,#4527A0
2024-01-02,XBB.1.16.1,4.964657799499205e-05,10395879,#F89B9B
2024-01-02,XBB.1.16.15,1.8306605992624577e-05,10395879,#E3B5FA
2024-01-02,XBB.1.16.6,0.0004938465913849132,10395879,#5AA350
2024-01-02,XBB.1.42.1,0.0007861538934802915,10395879,#75D1A3
2024-01-02,XBB.1.5,0.01073825407747291,10395879,#3F51B5
2024-01-02,XBB.1.5.70,7.553829681934544e-05,10395879,#46783C
2024-01-02,XBB.1.5.72,2.54493157259718e-05,10395879,#254220
2024-01-02,XBB.1.9.1,0.01938300584107847,10395879,#304FFE
2024-01-02,XBB.1.9.2,0.003237856915991904,10395879,#536DFE
2024-01-02,XBB.2.3,0.0002755069158654117,10395879,#F7BCDF
2024-01-02,XDP,0.0008900044482053898,10395879,#B60052
2024-01-02,XDV.1,0.0,10395879,#D367B6
2024-01-02,unreportable,0.03379757944333808,10395879,#eeeeee
2024-01-09,BA.2,0.0,1590780,#9CCD67
2024-01-09,BA.2.12.1,0.0,1590780,#7CB342
2024-01-09,BA.2.86,0.049532188770471094,1590780,#D770EE
2024-01-09,EG.5,0.1059252694732584,1590780,#FFBE7D
2024-01-09,EG.5.1.8,0.0,1590780,#E14D6F
2024-01-09,EG.6.1,0.0,1590780,#B9ABA8
2024-01-09,FE.1.1,0.0,1590780,#499894
2024-01-09,FL.1.5.1,0.0,1590780,#8CD17D
2024-01-09,GE.1,0.0,1590780,#FABFD2
2024-01-09,GK.1.1,0.0,1590780,#90FAE5
2024-01-09,HF.1,0.0,1590780,#D399AD
2024-01-09,HK.3,0.0026504732248331013,1590780,#859DBC
2024-01-09,HV.1,0.0,1590780,#797765
2024-01-09,JD.1.1,0.0,1590780,#80F192
2024-01-09,JF.1,0.0,1590780,#FFF1A9
2024-01-09,JG.3,0.0,1590780,#66A172
2024-01-09,JN.1,0.4586423067262852,1590780,#61018F
2024-01-09,JN.1.11.1,0.0,1590780,#5C9CF1
2024-01-09,JN.1.13,0.1803204529119866,1590780,#E83C78
2024-01-09,JN.1.13.1,0.0,1590780,#F2591C
2024-01-09,JN.1.16,0.0,1590780,#BC3A88
2024-01-09,JN.1.16.1,0.026962574082204954,1590780,#366298
2024-01-09,JN.1.18,0.10497973769763891,1590780,#4AF32F
2024-01-09,JN.1.32,0.0,1590780,#2E7919
2024-01-09,JN.1.4.3,0.0,1590780,#9D1010
2024-01-09,JN.1.7,0.00664548606097009,1590780,#CF15E8
2024-01-09,JN.1.8.1,0.0,1590780,#FFB027
2024-01-09,KP.1.1,0.0,1590780,#CBFF86
2024-01-09,KP.1.1.3,0.0,1590780,#1EB3B6
2024-01-09,KP.1.2,0.0,1590780,#D7B5A6
2024-01-09,KP.2,0.0,1590780,#5875A1
2024-01-09,KP.2.15,0.0,1590780,#175DFF
2024-01-09,KP.2.3,0.0,1590780,#628DE8
2024-01-09,KP.3,0.0,1590780,#B06589
2024-01-09,KP.3.1.1,0.0,1590780,#2F92A1
2024-01-09,KP.4.1,0.0,1590780,#FF473A
2024-01-09,KQ.1,0.0,1590780,#E86CDE
2024-01-09,KV.2,0.0,1590780,#E14365
2024-01-09,KW.1.1,0.0,1590780,#34A0FF
2024-01-09,LB.1,0.0,1590780,#795653
2024-01-09,Recombinant,0.04120905126592615,1590780,#FF0000
2024-01-09,XBB,0.0,1590780,#9FA8DA
2024-01-09,XBB.1.16,0.0,1590780,#4527A0
2024-01-09,XBB.1.16.1,0.0,1590780,#F89B9B
2024-01-09,XBB.1.16.15,0.0,1590780,#E3B5FA
2024-01-09,XBB.1.16.6,0.0,1590780,#5AA350
2024-01-09,XBB.1.42.1,0.0,1590780,#75D1A3
2024-01-09,XBB.1.5,0.0003579687278693471,1590780,#3F51B5
2024-01-09,XBB.1.5.70,0.0,1590780,#46783C
2024-01-09,XBB.1.5.72,0.0,1590780,#254220
2024-01-09,XBB.1.9.1,0.001389928576547354,1590780,#304FFE
2024-01-09,XBB.1.9.2,0.0,1590780,#536DFE
2024-01-09,XBB.2.3,0.0,1590780,#F7BCDF
2024-01-09,XDP,0.0,1590780,#B60052
2024-01-09,XDV.1,0.0,1590780,#D367B6
2024-01-09,unreportable,0.023083400597027876,1590780,#eeeeee
2024-01-16,BA.2,0.0,1590780,#9CCD67
2024-01-16,BA.2.12.1,0.0,1590780,#7CB342
2024-01-16,BA.2.86,0.014847952360606119,1590780,#D770EE
2024-01-16,EG.5,0.047797914512937044,1590780,#FFBE7D
