Week,weighted_avg
2024-01-02,1.0007591625645074
2024-01-09,1.0016988381150185
2024-01-16,1.0475251321430046
2024-01-23,1.0794218224957373
2024-01-30,0.9999999979033248
2024-02-06,1.0000000014955226
2024-02-13,1.000000004090913
2024-02-20,1.0000000034720926
2024-02-27,0.9999999974841517
2024-03-05,1.00000000247919
2024-03-12,0.9999999983041595
2024-03-19,0.9999999996264692
2024-03-26,1.0000000033352905
2024-04-02,0.9999999974780384
2024-04-09,1.0000000003479874
2024-04-16,1.0
2024-04-23,1.0000000036480543
2024-04-30,1.0000000037820564
2024-05-07,0.9999999991767439
2024-05-14,1.000000001473931
2024-05-21,0.9999999975032047
2024-05-28,1.0000000070734083
2024-06-04,0.9999999963292753
2024-06-11,1.0000000013898955
2024-06-18,0.9999999977645532
2024-06-25,0.999999997147075
