Week,variant,weighted_avg,total_population,hex_code
2024-04-02,BA.2,0.0,4736376,#9CCD67
2024-04-02,BA.2.12.1,0.0,4736376,#7CB342
2024-04-02,BA.2.86,0.0,4736376,#D770EE
2024-04-02,EG.5,0.0,4736376,#FFBE7D
2024-04-02,EG.5.1.8,0.0,4736376,#E14D6F
2024-04-02,EG.6.1,0.0,4736376,#B9ABA8
2024-04-02,FE.1.1,0.0,4736376,#499894
2024-04-02,FL.1.5.1,0.0,4736376,#8CD17D
2024-04-02,GE.1,0.0,4736376,#FABFD2
2024-04-02,GK.1.1,0.0,4736376,#90FAE5
2024-04-02,HF.1,0.0,4736376,#D399AD
2024-04-02,HK.3,0.0,4736376,#859DBC
2024-04-02,HV.1,0.0,4736376,#797765
2024-04-02,JD.1.1,0.0,4736376,#80F192
2024-04-02,JF.1,0.0,4736376,#FFF1A9
2024-04-02,JG.3,0.0,4736376,#66A172
2024-04-02,JN.1,0.2344193616473058,4736376,#61018F
2024-04-02,JN.1.11.1,0.0068757002488717,4736376,#5C9CF1
2024-04-02,JN.1.13,0.0109877376549317,4736376,#E83C78
2024-04-02,JN.1.13.1,0.0,4736376,#F2591C
2024-04-02,JN.1.16,0.0325570357073467,4736376,#BC3A88
2024-04-02,JN.1.16.1,0.1269707256116892,4736376,#366298
2024-04-02,JN.1.18,0.0085456678065349,4736376,#4AF32F
2024-04-02,JN.1.32,0.0336004399963062,4736376,#2E7919
2024-04-02,JN.1.4.3,0.0,4736376,#9D1010
2024-04-02,JN.1.7,0.3778650377702847,4736376,#CF15E8
2024-04-02,JN.1.8.1,0.025250443771964,4736376,#FFB027
2024-04-02,KP.1.1,0.0003146713668646,4736376,#CBFF86
2024-04-02,KP.1.1.3,0.0,4736376,#1EB3B6
2024-04-02,KP.1.2,0.0099030539939312,4736376,#D7B5A6
2024-04-02,KP.2,0.0591714558972862,4736376,#5875A1
2024-04-02,KP.2.15,0.0,4736376,#175DFF
2024-04-02,KP.2.3,0.0,4736376,#628DE8
2024-04-02,KP.3,0.0053696342514867,4736376,#B06589
2024-04-02,KP.3.1.1,0.0,4736376,#2F92A1
2024-04-02,KP.4.1,0.01393163006866,4736376,#FF473A
2024-04-02,KQ.1,0.0,4736376,#E86CDE
2024-04-02,KV.2,9.469668233687528e-05,4736376,#E14365
2024-04-02,KW.1.1,0.0,4736376,#34A0FF
2024-04-02,LB.1,0.0,4736376,#795653
2024-04-02,Recombinant,0.0431594135521968,4736376,#FF0000
2024-04-02,XBB,0.0,4736376,#9FA8DA
2024-04-02,XBB.1.16,0.0,4736376,#4527A0
2024-04-02,XBB.1.16.1,0.0,4736376,#F89B9B
2024-04-02,XBB.1.16.15,0.0,4736376,#E3B5FA
2024-04-02,XBB.1.16.6,0.0,4736376,#5AA350
2024-04-02,XBB.1.42.1,0.0,4736376,#75D1A3
2024-04-02,XBB.1.5,0.0,4736376,#3F51B5
2024-04-02,XBB.1.5.70,0.0,4736376,#46783C
2024-04-02,XBB.1.5.72,0.0,4736376,#254220
2024-04-02,XBB.1.9.1,0.0,4736376,#304FFE
2024-04-02,XBB.1.9.2,0.0,4736376,#536DFE
2024-04-02,XBB.2.3,0.0,4736376,#F7BCDF
2024-04-02,XDP,0.0,4736376,#B60052
2024-04-02,XDV.1,0.0,4736376,#D367B6
2024-04-02,unreportable,0.0109832914500411,4736376,#eeeeee
2024-04-09,BA.2,0.0,7467051,#9CCD67
2024-04-09,BA.2.12.1,0.0,7467051,#7CB342
2024-04-09,BA.2.86,0.0,7467051,#D770EE
2024-04-09,EG.5,0.0,7467051,#FFBE7D
2024-04-09,EG.5.1.8,0.0,7467051,#E14D6F
2024-04-09,EG.6.1,0.0,7467051,#B9ABA8
2024-04-09,FE.1.1,0.0,7467051,#499894
2024-04-09,FL.1.5.1,0.0,7467051,#8CD17D
2024-04-09,GE.1,0.0,7467051,#FABFD2
2024-04-09,GK.1.1,0.0,7467051,#90FAE5
2024-04-09,HF.1,0.0,7467051,#D399AD
2024-04-09,HK.3,0.0,7467051,#859DBC
2024-04-09,HV.1,0.0,7467051,#797765
2024-04-09,JD.1.1,0.0,7467051,#80F192
2024-04-09,JF.1,0.0,7467051,#FFF1A9
2024-04-09,JG.3,0.0,7467051,#66A172
2024-04-09,JN.1,0.3748120823473169,7467051,#61018F
2024-04-09,JN.1.11.1,0.0402760882428484,7467051,#5C9CF1
2024-04-09,JN.1.13,0.0320802505585538,7467051,#E83C78
2024-04-09,JN.1.13.1,0.0,7467051,#F2591C
